name,cf_url,modrinth_url,github_url,manual_versions,incompat,description,side,notes,type,status
AI Improvements,https://www.curseforge.com/minecraft/mc-mods/ai-improvements,https://modrinth.com/mod/ai-improvements,,,Universal Tweaks,Simplified AI modification mod focused on performance and low-level modifications to AIs in the game,Server,"newer versions (1.14+) don't have as much impact as the older versions have, as a lot of fixes to the AI are already implemented",performance,4
Alternate Current,https://www.curseforge.com/minecraft/mc-mods/alternate-current,https://modrinth.com/mod/alternate-current,,,,An efficient and non-locational redstone dust implementation.,Server,breaks some obscure technical minecraft farms that you likely won't use,performance,4
Better Beds,https://www.curseforge.com/minecraft/mc-mods/better-beds,https://modrinth.com/mod/better-beds,,,,Removes the Block Entity Renderer from the bed and replaces it with the default minecraft model renderer.,Client,,performance,
Better Biome Blend,https://www.curseforge.com/minecraft/mc-mods/better-biome-blend,https://modrinth.com/mod/better-biome-blend,,,,Accelerates the biome color blending algorithm.,Client,compatible with Sodium in versions after 1.18.2-1.3.5,performance,
Better Fps - Render Distance (Forge),https://www.curseforge.com/minecraft/mc-mods/better-fps-render-distance,,,,,Adds a few performance improvements to increase FPS.,Client,"little performance benefit and may break chunkloading, closed source",performance,2
Better Fps - Render Distance (Fabric),https://www.curseforge.com/minecraft/mc-mods/better-fps-render-distance-fabric,,,,,Adds a few performance improvements to increase FPS.,Client,"little performance benefit and may break chunkloading, closed source",performance,2
Canary,https://www.curseforge.com/minecraft/mc-mods/canary,https://modrinth.com/mod/canary,,,Radium Reforged,Unofficial Forge port of Lithium. A general-purpose optimization mod which works to improve a number of systems without changing any behavior,Either,,performance,
Canvas Renderer,https://www.curseforge.com/minecraft/mc-mods/canvas-renderer,https://modrinth.com/mod/canvas,,,Sodium,Advanced Rendering Engine for Fabric,Client,,"performance,utility",
Chunk-Pregenerator,https://www.curseforge.com/minecraft/mc-mods/chunkpregenerator,,,,,Allows you to preemptively generate chunks,Client Optional,closed source,"performance,utility",
Chunky (Fabric),https://www.curseforge.com/minecraft/mc-mods/chunky-pregenerator,https://modrinth.com/mod/chunky,,,,"Pre-generates chunks, quickly and efficiently.",Server,,"performance,utility",
Chunky (Forge),https://www.curseforge.com/minecraft/mc-mods/chunky-pregenerator-forge,https://modrinth.com/mod/chunky,,,,"Pre-generates chunks, quickly and efficiently.",Server,,"performance,utility",
Clumps,https://www.curseforge.com/minecraft/mc-mods/clumps,https://modrinth.com/mod/clumps,,,,Clumps groups XP orbs together into a single entity to reduce lag when there are many in a small area.,Both,only required server-side on 1.17+,performance,
Concurrent Chunk Management Engine,https://www.curseforge.com/minecraft/mc-mods/c2me-fabric,https://modrinth.com/mod/c2me-fabric,,,,Improves the chunk performance of Minecraft.,Client Optional,Alpha (1),performance,3
Cull Clouds,https://www.curseforge.com/minecraft/mc-mods/cullclouds,https://modrinth.com/mod/cullclouds,,,,Adds a small optimization improves clouds building way to not render parts which you cant see to increase fps.,Client,,performance,
Cull Leaves,https://www.curseforge.com/minecraft/mc-mods/cull-leaves,https://modrinth.com/mod/cull-leaves,,,"Cull Less Leaves, More Culling","Adds culling to leaf blocks, providing a huge performance boost over vanilla.",Client,,performance,
Cull Less Leaves,https://www.curseforge.com/minecraft/mc-mods/cull-less-leaves,https://modrinth.com/mod/cull-less-leaves,,,"Cull Leaves, More Culling",improved version of Cull Leaves.,Client,,performance,
Cyclonite,https://www.curseforge.com/minecraft/mc-mods/c3h6n6o6,https://modrinth.com/mod/c3h6n6o6,,,,A mod for entity multithreading.,Both,also known as C3H6N6O6,performance,
DashLoader,https://www.curseforge.com/minecraft/mc-mods/dashloader,https://modrinth.com/mod/dashloader,,,ModernFix,Launches minecraft faster by caching all of the content on first launch and then loading that cache on the next one,Client,Incompatible (2),performance,4
Dimensional Threading,none,https://modrinth.com/mod/dimthread,,,,"Optimizes the processing of multiple Dimensions, by assigning them independent threads",Either,Incompatible (2),performance,3
Dynamic FPS,https://www.curseforge.com/minecraft/mc-mods/dynamic-fps,https://modrinth.com/mod/dynamic-fps,,,,Automatically reduces rendering speed when minecraft is not focused (to 1 FPS) or hidden (no renders at all). Fixes a Vanilla bug that makes it take much more performance in the background than it should.,Client,,"performance,bugfix",
Dynamic View (Forge),https://www.curseforge.com/minecraft/mc-mods/dynamic-view,,,,APTweaks,This is a small/light serverside utility mod to help balancing lag (TPS) and chunk view/load distance.,Server,likely causes more lag and may hide TPS issues,performance,2
Dynamic View (Fabric),https://www.curseforge.com/minecraft/mc-mods/dynamic-view-fabric,,,,APTweaks,This is a small/light serverside utility mod to help balancing lag (TPS) and chunk view/load distance.,Server,likely causes more lag and may hide TPS issues,performance,2
Enhanced Block Entities,https://www.curseforge.com/minecraft/mc-mods/enhanced-block-entities,https://modrinth.com/mod/ebe,,,,"Aims to increase the performance of block entity rendering, as well as offer customizability via resource packs.",Client,requires Indium to be installed for compatibility with Sodium,performance,
